0.00 1.59 0.01 973.15 7.69 45.12 14910.37 0.02 0.10 0.00 0.00
5.00 1.49 0.04 971.46 7.73 45.42 14911.72 0.04 0.02 2.07 2.16
10.00 1.65 0.10 971.01 8.05 47.05 14910.22 0.07 0.01 844.51 15.83
15.00 3.15 0.54 971.58 8.34 55.64 14900.77 0.34 0.02 1715.76 1712.69
20.00 4.84 0.66 986.19 8.59 61.15 14880.40 0.72 0.02 26.97 18.99
25.00 10.91 2.76 1028.73 8.67 64.59 14834.32 0.76 0.01 10.45 10.05
30.00 56.86 9.91 1338.30 9.69 73.25 14515.09 2.88 0.09 14.37 14.12
35.00 57.40 4.09 1669.07 10.07 94.02 14163.17 4.00 0.49 52.28 229.56
40.00 71.59 3.85 1490.45 10.68 121.14 14314.06 1.55 3.57 1517.20 2016.43
45.00 56.03 0.92 1524.23 10.76 181.50 14219.83 0.52 1.61 15519.83 14565.21
50.00 5.79 0.52 1057.58 10.79 213.37 14654.60 0.21 0.11 165.87 497.48
55.00 8.07 0.07 1044.35 10.80 209.15 14672.02 0.05 0.04 36.71 44.78
60.00 47.83 0.03 1351.44 10.86 208.86 14365.17 0.01 0.06 24.59 232.74
65.00 41.92 0.02 1565.61 10.89 225.65 14134.18 0.01 0.12 570.47 356.40
70.00 63.72 0.05 1319.96 10.92 238.74 14366.71 0.01 8.91 2198.27 2641.17
75.00 53.09 0.41 1338.20 10.95 232.13 14355.04 0.01 8.68 5460.63 5063.26
80.00 1.91 0.12 994.97 10.96 210.10 14720.29 0.00 8.01 6.34 3.12
85.00 4.58 2.91 971.93 4.36 73.16 14886.88 1.55 2.95 3.82 3.64
90.00 4.95 3.64 970.16 4.11 42.75 14919.31 0.98 0.01 1.94 1.90
